Index,Car_status,Rand,Light_status
1,1,7,Green
2,1,92,Green
3,1,3,Green
4,1,63,Green
5,1,68,Green
6,1,91,Green
7,0,24,Red
8,0,0,Red
9,0,85,Red
10,1,45,Green
11,1,71,Green
12,0,98,Red
13,0,43,Red
14,1,63,Green
15,1,43,Green
16,1,1,Green
17,1,42,Green
18,0,97,Red
19,0,25,Red
20,0,11,Red
21,0,9,Red
22,0,37,Red
23,0,99,Red
24,1,94,Green
25,0,50,Red
26,1,38,Green
27,0,66,Red
28,0,85,Red
29,1,22,Green
30,1,9,Green
31,0,79,Red
32,0,29,Red
33,1,44,Green
34,1,33,Green
35,0,49,Red
36,0,73,Red
37,0,69,Red
38,1,54,Green
39,0,94,Red
40,0,42,Red
41,1,17,Green
42,1,67,Green
43,1,43,Green
44,1,76,Green
45,1,23,Green
46,0,92,Red
47,1,52,Green
48,1,66,Green
49,1,44,Green
50,0,5,Red
51,1,16,Green
52,0,25,Red
53,0,82,Red
54,1,77,Green
55,1,84,Green
56,0,85,Red
57,0,97,Red
58,1,39,Green
59,1,14,Green
60,1,97,Green
61,0,24,Red
62,1,65,Green
63,1,94,Green
64,0,22,Red
65,0,13,Red
66,1,59,Green
67,0,92,Red
68,1,33,Green
69,1,15,Green
70,0,11,Red
71,0,8,Red
72,1,27,Green
73,1,83,Green
74,1,92,Green
75,0,78,Red
76,1,64,Green
77,1,50,Green
78,1,93,Green
79,1,22,Green
80,0,17,Red
81,1,18,Green
82,0,0,Red
83,0,68,Red
84,1,49,Green
85,0,30,Red
86,1,100,Green
87,1,86,Green
88,0,62,Red
89,0,25,Red
90,0,76,Red
91,1,61,Green
92,1,62,Green
93,1,90,Green
94,0,80,Red
95,1,83,Green
96,1,19,Green
97,1,69,Green
98,0,8,Red
99,1,62,Green
100,1,75,Green
