TimeStep,n_Cars_1,n_Cars_2,n_Cars_3,n_Cars_4,Green_Junction
1,26,91,75,13,2
2,14,52,54,87,4
3,27,59,59,48,2
4,9,52,68,69,4
5,35,61,91,36,3
6,37,96,76,9,2
7,49,95,28,85,2
8,48,100,68,37,2
9,9,63,43,60,2
10,63,2,21,93,4
11,42,46,23,71,4
12,49,27,39,24,1
13,69,70,98,7,3
14,80,14,24,88,4
15,24,74,96,12,3
16,66,73,37,72,2
17,73,0,35,95,4
18,17,73,97,64,3
19,41,81,42,24,2
20,33,47,38,77,4
21,77,2,84,60,3
22,45,10,10,41,1
23,76,54,35,80,4
24,35,64,42,24,2
25,38,55,8,46,2
26,23,11,46,91,4
27,22,86,7,89,4
28,78,20,9,24,1
29,83,97,39,90,2
30,10,70,89,65,3
31,18,16,93,86,3
32,47,49,50,18,3
33,94,78,91,99,4
34,97,68,42,59,1
35,45,44,42,74,4
36,36,23,51,96,4
37,39,53,79,11,3
38,38,4,47,88,4
39,21,91,36,40,2
40,14,57,10,80,4
41,100,35,51,75,1
42,50,48,75,96,4
43,65,74,97,92,3
44,98,69,50,27,1
45,100,8,67,58,1
46,27,88,19,44,2
47,61,94,3,36,2
48,12,71,59,44,2
49,72,86,64,73,2
50,25,15,60,27,3
51,54,16,11,71,4
52,90,63,52,77,1
53,24,14,37,71,4
54,9,46,76,76,3
55,92,1,39,98,4
56,47,56,3,84,4
57,42,75,24,87,4
58,5,47,28,17,2
59,31,93,40,10,2
60,96,47,93,61,1
61,59,72,22,86,4
62,47,35,86,16,3
63,31,53,26,7,2
64,86,35,71,68,1
65,100,63,0,68,1
66,43,2,5,41,1
67,18,74,16,71,2
68,55,99,19,2,2
69,39,84,65,1,2
70,86,19,80,75,1
71,12,85,86,32,3
72,95,10,0,65,1
73,64,88,7,75,2
74,3,80,94,92,3
75,29,32,32,32,2
76,42,81,62,10,2
77,28,21,95,59,3
78,58,49,55,72,4
79,85,3,51,15,1
80,81,40,10,87,4
81,19,2,86,30,3
82,62,61,4,91,4
83,62,56,45,17,1
84,71,1,96,99,4
85,64,45,67,19,3
86,51,12,49,55,4
87,79,42,64,67,1
88,84,65,70,56,1
89,79,11,87,71,3
90,5,5,90,90,3
91,10,64,44,94,4
92,0,15,90,46,3
93,20,10,22,86,4
94,89,21,88,64,1
95,45,58,71,67,3
96,81,31,74,30,1
97,57,82,52,85,4
98,100,35,86,20,1
99,26,63,96,29,3
100,1,8,12,20,4
